dataset,score,method,model_architecture,calibration_level,conformal_type,overall_eff_mean,overall_eff_std,overall_inf_mean,overall_inf_std,overall_covgap_mean,overall_covgap_std,0_task_eff_mean,0_task_eff_std,0_task_inf_mean,0_task_inf_std,0_task_covgap_mean,0_task_covgap_std,1_task_eff_mean,1_task_eff_std,1_task_inf_mean,1_task_inf_std,1_task_covgap_mean,1_task_covgap_std
SGVehicle,Hinge,TT,Task-wise,Task-wise,Standard Global,1.3336,0.0141,0.7254,0.0097,7.6056,0.2822,1.1663,0.0077,0.8401,0.0069,3.4295,0.1927,1.1424,0.0059,0.8632,0.0046,3.4033,0.3356
SGVehicle,Hinge,TT,Task-wise,Task-wise,Standard Taskwise,1.3367,0.0157,0.7231,0.012,7.6639,0.3631,1.2039,0.0106,0.8092,0.0083,3.0362,0.1815,1.1086,0.0084,0.8928,0.008,3.5489,0.3855
SGVehicle,Hinge,TT,Task-wise,Task-wise,Classwise,1.5286,0.0297,0.6204,0.0125,5.6263,0.4793,1.2876,0.016,0.7401,0.01,1.6148,0.2166,1.1844,0.0228,0.8355,0.0177,1.8489,0.193
SGVehicle,Hinge,TT,Task-wise,Task-wise,Clustered Taskwise,1.4298,0.0196,0.666,0.0111,7.1954,0.3629,1.2857,0.0153,0.7422,0.0104,1.6716,0.1375,1.1086,0.0084,0.8928,0.008,3.5489,0.3855
SGVehicle,Hinge,TT,Task-wise,Task-wise,Clustered Global,1.5286,0.0297,0.6204,0.0125,5.6263,0.4793,1.2876,0.016,0.7401,0.01,1.6148,0.2166,1.1844,0.0228,0.8355,0.0177,1.8489,0.193
SGVehicle,Hinge,TJ,Task-wise,Joint,Standard,1.7587,0.0229,0.47,0.0062,5.0357,0.2524,1.3944,0.0128,0.6837,0.0075,2.61,0.0548,1.3412,0.011,0.7192,0.0053,3.3422,0.2578
SGVehicle,Hinge,TJ,Task-wise,Joint,Classwise,53.9209,0.0464,0.0,0.0,4.071,0.1299,12.0,0.0,0.0,0.0,5.0,0.0,6.2982,0.0267,0.0,0.0,4.0929,0.09
SGVehicle,Hinge,TJ,Task-wise,Joint,Clustered,2.1481,0.0536,0.3872,0.014,4.5295,0.1465,1.6239,0.0343,0.5704,0.0096,2.9185,0.234,1.486,0.0292,0.6463,0.0153,3.0305,0.151
SGVehicle,Hinge,JT,Joint-output,Task-wise,Standard Global,1.5681,0.0208,0.6,0.0117,8.1825,0.4914,1.2536,0.0103,0.7616,0.0087,2.8325,0.1252,1.242,0.0079,0.7761,0.0065,4.6387,0.2498
SGVehicle,Hinge,JT,Joint-output,Task-wise,Standard Taskwise,1.5723,0.021,0.5986,0.0114,8.3317,0.5825,1.2426,0.0116,0.7707,0.0098,2.9361,0.1231,1.2563,0.0087,0.7655,0.0071,4.5659,0.2996
SGVehicle,Hinge,JT,Joint-output,Task-wise,Classwise,1.8128,0.034,0.5261,0.0103,5.9355,0.645,1.3013,0.0131,0.7338,0.0098,1.5125,0.1297,1.3764,0.0146,0.7007,0.0078,1.519,0.4453
SGVehicle,Hinge,JT,Joint-output,Task-wise,Clustered Taskwise,1.6426,0.0324,0.5714,0.0143,7.91,0.5412,1.2974,0.0182,0.735,0.012,1.6207,0.2166,1.2563,0.0087,0.7655,0.0071,4.5659,0.2996
SGVehicle,Hinge,JT,Joint-output,Task-wise,Clustered Global,1.8128,0.034,0.5261,0.0103,5.9355,0.645,1.3013,0.0131,0.7338,0.0098,1.5125,0.1297,1.3764,0.0146,0.7007,0.0078,1.519,0.4453
SGVehicle,Hinge,JJ,Joint-output,Joint,Standard,2.1091,0.0279,0.3404,0.0091,5.4959,0.4111,1.5186,0.0146,0.5943,0.0085,3.2084,0.1792,1.5461,0.0108,0.5889,0.0056,3.8937,0.1984
SGVehicle,Hinge,JJ,Joint-output,Joint,Classwise,54.2965,0.0657,0.0,0.0,4.0327,0.0787,12.0,0.0,0.0,0.0,5.0,0.0,6.5002,0.0335,0.0,0.0,3.9813,0.0393
SGVehicle,Hinge,JJ,Joint-output,Joint,Clustered,2.6697,0.0736,0.2606,0.0061,4.6776,0.323,1.7733,0.0346,0.4983,0.0091,3.5726,0.1874,1.8011,0.0305,0.4966,0.0081,2.8054,0.1155
SGVehicle,Margin,TT,Task-wise,Task-wise,Standard Global,1.5764,0.1115,0.7587,0.0127,7.3506,0.5116,1.2817,0.044,0.8584,0.0079,3.6221,0.3656,1.2148,0.0352,0.8835,0.0066,2.8032,0.1903
SGVehicle,Margin,TT,Task-wise,Task-wise,Standard Taskwise,1.6842,0.091,0.757,0.0089,7.1674,0.3652,1.4896,0.0657,0.8337,0.0066,3.3326,0.1687,1.1259,0.0193,0.9074,0.0058,3.1471,0.2641
SGVehicle,Margin,TT,Task-wise,Task-wise,Classwise,2.5671,0.1673,0.5956,0.0375,6.2217,0.5361,1.7242,0.0346,0.73,0.0173,1.714,0.4333,1.4806,0.0856,0.8131,0.0418,1.6256,0.4197
SGVehicle,Margin,TT,Task-wise,Task-wise,Clustered Taskwise,1.9319,0.0653,0.6667,0.016,6.902,0.4578,1.7122,0.0438,0.7326,0.016,1.7336,0.436,1.1259,0.0193,0.9074,0.0058,3.1471,0.2641
SGVehicle,Margin,TT,Task-wise,Task-wise,Clustered Global,2.5671,0.1673,0.5956,0.0375,6.2217,0.5361,1.7242,0.0346,0.73,0.0173,1.714,0.4333,1.4806,0.0856,0.8131,0.0418,1.6256,0.4197
SGVehicle,Margin,TJ,Task-wise,Joint,Standard,22.7357,1.1876,0.6485,0.0066,4.344,0.1928,2.9527,0.0987,0.7226,0.0091,2.8292,0.134,2.7665,0.0874,0.7378,0.0066,3.284,0.1936
SGVehicle,Margin,TJ,Task-wise,Joint,Classwise,71.6135,0.8454,0.0,0.0,4.084,0.1394,12.0,0.0,0.0,0.0,5.0,0.0,9.0281,0.1879,0.0,0.0,4.6839,0.0736
SGVehicle,Margin,TJ,Task-wise,Joint,Clustered,31.0782,1.0508,0.1019,0.0055,4.2862,0.2234,6.3525,0.4425,0.1183,0.0125,3.8387,0.1581,5.4874,0.2076,0.1079,0.0083,3.9578,0.131
SGVehicle,Margin,JT,Joint-output,Task-wise,Standard Global,2.1135,0.0704,0.6687,0.0081,7.5306,0.456,1.4071,0.0261,0.8089,0.0057,2.4588,0.2316,1.4321,0.0295,0.8177,0.0056,3.5847,0.3628
SGVehicle,Margin,JT,Joint-output,Task-wise,Standard Taskwise,2.1473,0.0716,0.6666,0.0085,7.5134,0.4638,1.4286,0.072,0.8072,0.0116,2.4877,0.3318,1.4347,0.0429,0.8167,0.0077,3.5572,0.5823
SGVehicle,Margin,JT,Joint-output,Task-wise,Classwise,3.9557,0.1964,0.5032,0.0362,5.8611,0.7522,1.733,0.0593,0.7472,0.0102,1.6772,0.1655,2.1706,0.0923,0.6524,0.048,1.4891,0.393
SGVehicle,Margin,JT,Joint-output,Task-wise,Clustered Taskwise,2.5643,0.0546,0.6257,0.0104,6.9281,0.5993,1.7126,0.0714,0.7568,0.0119,1.7276,0.1492,1.4347,0.0429,0.8167,0.0077,3.5572,0.5823
