dataset,score,calibration_level,overall_eff_mean_mean,overall_eff_mean_std,overall_inf_mean_mean,overall_inf_mean_std,overall_covgap_mean_mean,overall_covgap_mean_std,n
SGVehicle,Hinge,Joint,19.483833333333333,26.82214667431872,0.24303333333333332,0.20010854721042445,4.6404,0.5648611581618974,6
SGVehicle,Hinge,Task-wise,1.55659,0.16825340313546916,0.61775,0.07044209994346028,7.00127,1.0997946586623442,10
SGVehicle,Margin,Joint,45.68578333333334,22.516827967315173,0.2563333333333333,0.28286226094455696,4.3006166666666665,0.17234308128458967,6
SGVehicle,Margin,Task-wise,2.50632,0.8410277189248879,0.6341,0.08897591434390167,6.75577,0.6599695212659442,10
SGVehicle,PIP,Joint,37.01815,25.380249213650366,0.25658333333333333,0.26622236883227274,4.339466666666667,0.23394064774353918,6
SGVehicle,PIP,Task-wise,1.98122,0.5851368554069685,0.64247,0.06950534831539545,6.767440000000001,0.8504601214767346,10
UTKFace,Hinge,Joint,3.92385,0.1832523915260044,0.11508333333333333,0.026240992105228542,2.53655,1.5715980500751456,6
UTKFace,Hinge,Task-wise,3.1570899999999997,0.1914191993737537,0.22712,0.043898210543129076,7.00454,2.483617931879933,10
UTKFace,Margin,Joint,6.202216666666668,0.15753447135997478,0.25681666666666664,0.06689799448912252,2.2441166666666668,1.2692105158982363,6
UTKFace,Margin,Task-wise,3.4919399999999996,0.15450788688967013,0.30654000000000003,0.08709346448244872,6.579219999999999,1.8596096930987072,10
UTKFace,PIP,Joint,5.7849,0.15020605846636195,0.25603333333333333,0.04218491041434919,2.4029833333333332,1.3741371058473992,6
UTKFace,PIP,Task-wise,3.4004199999999996,0.17566442629817444,0.29801,0.0680018864117427,6.6281099999999995,1.980884986537302,10
